LOCATION,SUBJECT,MEASURE,TIME,Value
AUS,BEEF,KG_CAP,1991,27.7218154779186
AUS,BEEF,KG_CAP,1992,26.199590974358102
AUS,BEEF,KG_CAP,1993,26.169094098981
AUS,BEEF,KG_CAP,1994,25.4561344070509
AUS,BEEF,KG_CAP,1995,25.3402262814921
AUS,BEEF,KG_CAP,1996,27.2591040290769
AUS,BEEF,KG_CAP,1997,28.802913179629602
AUS,BEEF,KG_CAP,1998,26.590476609471
AUS,BEEF,KG_CAP,1999,27.918282977739
AUS,BEEF,KG_CAP,2000,26.3546243250795
AUS,BEEF,KG_CAP,2001,24.460361570528804
AUS,BEEF,KG_CAP,2002,25.116185531852498
AUS,BEEF,KG_CAP,2003,25.811711380471102
AUS,BEEF,KG_CAP,2004,28.5666444410253
AUS,BEEF,KG_CAP,2005,27.061267878684898
AUS,BEEF,KG_CAP,2006,26.9251671242306
AUS,BEEF,KG_CAP,2007,24.097615521471802
AUS,BEEF,KG_CAP,2008,23.301062531129602
AUS,BEEF,KG_CAP,2009,23.432423328325896
AUS,BEEF,KG_CAP,2010,25.3004857895539
AUS,BEEF,KG_CAP,2011,23.2827702747972
AUS,BEEF,KG_CAP,2012,22.4272426868263
AUS,BEEF,KG_CAP,2013,23.7283312014827
AUS,BEEF,KG_CAP,2014,22.5623087650667
AUS,BEEF,KG_CAP,2015,19.6992156542418
AUS,BEEF,KG_CAP,2016,22.051026183814102
AUS,BEEF,KG_CAP,2017,20.939368542138396
AUS,BEEF,KG_CAP,2018,20.4833254596177
AUS,BEEF,KG_CAP,2019,20.197778443498898
AUS,BEEF,KG_CAP,2020,20.2274657594685
AUS,BEEF,KG_CAP,2021,20.1303356450519
AUS,BEEF,KG_CAP,2022,19.9513946757099
AUS,BEEF,KG_CAP,2023,19.826832877244502
AUS,BEEF,KG_CAP,2024,19.6692838597189
AUS,BEEF,KG_CAP,2025,19.5406445836845
AUS,BEEF,KG_CAP,2026,19.401266617988103
AUS,PIG,KG_CAP,1991,14.3964762598799
AUS,PIG,KG_CAP,1992,15.1292467203512
AUS,PIG,KG_CAP,1993,14.870676526691101
AUS,PIG,KG_CAP,1994,15.5966906071944
AUS,PIG,KG_CAP,1995,15.5047171324105
AUS,PIG,KG_CAP,1996,14.459520182505601
AUS,PIG,KG_CAP,1997,14.7153330040867
AUS,PIG,KG_CAP,1998,15.1659320798485
AUS,PIG,KG_CAP,1999,15.0694735328876
AUS,PIG,KG_CAP,2000,15.2064536327073
